260
0: [[77, 124, 241, 7], [62, 0], [26, 89], [0, 46]]
1: [[67, 46, 25, 1], [16, 94], [45, 42], [136, 100]]
2: [[2, 111, 210, 1], [98, 4], [100, 42], [147, 22]]
3: [[135, 65, 39, 1], [1, 59], [119, 96], [30, 49]]
4: [[72, 71, 148, 11], [42, 70], [73, 100], [125, 27]]
5: [[41, 239, 222, 5], [127, 1], [10, 67], [85, 82]]
6: [[68, 48, 26, 1], [150, 0], [17, 24], [55, 73]]
7: [[98, 7, 209, 11], [95, 39], [7, 29], [149, 17]]
8: [[123, 91, 221, 8], [4, 100], [30, 0], [40, 15]]
9: [[1, 114, 147, 1], [118, 16], [124, 93], [144, 73]]
10: [[62, 150, 0, 9], [0, 47], [14, 5], [127, 89]]
11: [[81, 112, 1, 1], [63, 61], [25, 87], [27, 61]]
12: [[9, 1, 242, 1], [150, 96], [0, 57], [93, 19]]
13: [[113, 224, 50, 7], [115, 19], [24, 88], [79, 100]]
14: [[7, 193, 75, 14], [70, 53], [11, 19], [15, 43]]
15: [[245, 86, 47, 1], [67, 9], [36, 69], [130, 10]]
16: [[81, 188, 6, 1], [150, 38], [147, 95], [83, 47]]
17: [[180, 64, 158, 6], [58, 100], [145, 79], [139, 53]]
18: [[170, 145, 71, 1], [0, 50], [117, 42], [0, 18]]
19: [[33, 33, 6, 1], [84, 13], [12, 20], [46, 100]]
20: [[152, 4, 129, 9], [13, 0], [82, 72], [78, 21]]
21: [[31, 166, 162, 1], [147, 0], [32, 75], [0, 20]]
22: [[25, 111, 197, 4], [129, 0], [54, 13], [72, 84]]
23: [[33, 106, 34, 1], [51, 4], [145, 23], [130, 88]]
24: [[27, 231, 40, 7], [118, 18], [150, 58], [78, 71]]
25: [[0, 6, 189, 1], [59, 0], [109, 0], [77, 90]]
26: [[127, 225, 88, 8], [119, 85], [83, 10], [138, 57]]
27: [[27, 62, 51, 7], [54, 44], [0, 41], [26, 19]]
28: [[246, 220, 91, 6], [33, 64], [103, 43], [83, 4]]
